algorithm,dataset,reference_rows,hv,spread,igd,mdh
MOEAD,pom3a.csv,11,0.3678062423127809,0.3803831132556992,0.7087209250864306,0.9012809640255139
MOEAD,pom3b.csv,12,1.132053395545388,,0.511509143978475,0.1644186813674483
MOEAD,pom3c.csv,15,0.6866955598082665,0.49365286316402424,0.5119066670152445,0.729971003835641
MOEAD,Scrum100k.csv,23,0.18277248677248692,0.33140618006825556,0.5564801453609547,1.2013539274329474
MOEAD,SS-N.csv,8,0.0927828624486007,,0.8726026907378254,1.0147132513899582
MOEAD,SS-W.csv,2,0.044334868204138685,0.25052727735163904,1.102848681390674,1.2989444266258148
MOEAD,SS-X.csv,3,0.02645142238404994,0.11635831052072686,1.260868482750359,1.3572965231974892
NSGA2,all_players.csv,4,0.4906034482758622,0.6364066702685209,0.4598757016004608,0.9310097949122464
NSGA2,BankChurners.csv,34,1.238449271330028,0.5253458482530826,0.053024979557367784,0.8509977488031946
NSGA2,Data_COVID19_Indonesia.csv,22,0.3795196364741909,0.6691717419709834,0.022259157334393927,1.0580420001812747
NSGA2,Loan.csv,38,0.38554452238123776,0.7951417027651084,0.23671546695117607,1.2934694259354758
NSGA2,pom3a.csv,11,0.9056852042409249,0.6262278857418585,0.24051869547414964,0.7616345259039604
NSGA2,pom3b.csv,12,1.2606089636078843,0.49816646193474945,0.3230599120899712,0.3551062089178195
NSGA2,pom3c.csv,15,1.14374615293232,0.6423598044297217,0.13348750613119062,0.6974819986827434
NSGA2,Scrum100k.csv,23,0.725557823129252,0.6961877076760041,0.05235864413534599,0.9518768878921917
NSGA2,SS-N.csv,8,0.6433860626784427,0.6293735942225422,0.1818001434938892,0.8514497167739066
NSGA2,SS-W.csv,2,0.827207009410947,0.7364454383018476,0.2745412416676943,0.7157437097274896
NSGA2,SS-X.csv,3,0.766773683770324,1.0004235437619207,0.0,0.7910913837151691
NSGA3,all_players.csv,4,0.3494444444444446,0.7447182790478785,0.4405492285735123,0.9745001818380131
NSGA3,BankChurners.csv,34,1.2561217966353322,0.7138309631931814,0.1140429843937343,0.7704932588092155
NSGA3,Data_COVID19_Indonesia.csv,22,0.34790216065831225,0.7309285451964822,0.04088342800527542,1.0758717684820023
NSGA3,Loan.csv,38,0.33685182114742307,0.6595343696749737,0.23358769098075322,1.3038402007542806
NSGA3,pom3a.csv,11,0.866793931727694,0.7744539874531235,0.17877625050978851,0.7458746514395439
NSGA3,pom3b.csv,12,1.2576113606000543,1.0007754665217017,0.45460246494512924,0.5322705880958992
NSGA3,pom3c.csv,15,1.1244114292736465,0.5790597763943067,0.15423696126926148,0.6860339458161956
NSGA3,Scrum100k.csv,23,0.7885757575757578,0.7332985818181903,0.034017364123257295,0.9470087827342141
NSGA3,SS-N.csv,8,0.6109148668525051,0.7898328215723845,0.18770507265314687,0.880019095241851
NSGA3,SS-W.csv,2,0.890160706568152,0.645906389855582,0.364707140252673,0.6346905940723396
NSGA3,SS-X.csv,3,0.766773683770324,1.0004235437619207,0.0,0.7910913837151691
RNSGA3,all_players.csv,4,0.7646610169491526,0.9370966968753568,0.29429099501686307,0.796354305055262
RNSGA3,BankChurners.csv,34,0.6766769686377573,0.6694482392061659,0.2502856081640917,0.8058542821985452
RNSGA3,Data_COVID19_Indonesia.csv,22,0.18597825581506522,1.073669083944053,0.11624039102718728,1.1793419446614943
RNSGA3,Loan.csv,38,0.033947286918515056,,0.7236762024792541,1.3644053497568982
RNSGA3,pom3a.csv,11,0.4220470876139525,1.1542467274268675,0.39659907191881366,0.9597939122646656
RNSGA3,pom3b.csv,12,1.0905409291419834,1.0236139852058532,0.437404318214275,0.6092995776627349
RNSGA3,pom3c.csv,15,0.3533286936410782,1.3148710570622055,0.4081475524745279,0.9363581371855816
RNSGA3,Scrum100k.csv,23,0.3022244897959185,1.3014905113063284,0.5486136261307116,1.0750354537241562
RNSGA3,SS-N.csv,8,1.130842161510981,0.5637305422777076,0.07784202050860384,0.46731875111249266
RNSGA3,SS-W.csv,2,0.7139275229604815,,0.823034275305873,0.4509749791268352
RNSGA3,SS-X.csv,3,0.11000000000000011,,0.6986182715321646,1.0
RVEA,all_players.csv,4,0.8552830188679248,0.4832975868154629,0.23454152364809938,0.6691053023684647
RVEA,BankChurners.csv,34,0.6560397076101186,0.5657112797731358,0.11322496490146472,0.9205651451341872
RVEA,Data_COVID19_Indonesia.csv,22,0.645259581762193,0.5896103472057023,0.026666035972938474,0.9547173713919
RVEA,Loan.csv,38,0.358853449764718,0.7520091970578415,0.21977481499068457,1.442782386982772
RVEA,pom3a.csv,11,1.2790245009639973,0.5450097611927293,0.09922889880555293,0.5995768917608234
RVEA,pom3b.csv,12,1.3070842818386506,0.5047611744985805,0.08442663313438765,0.4909810518093372
RVEA,pom3c.csv,15,1.1828235293020253,0.5632767335972799,0.13981707626396792,0.6893900024181452
RVEA,Scrum100k.csv,23,0.7852105263157898,0.6500994859805491,0.037946923647432344,0.9286586071932109
RVEA,SS-N.csv,8,1.0123913277854,0.5394859357547577,0.10315561784519442,0.6091574828904636
RVEA,SS-W.csv,2,0.2169042438829493,0.39141240675639566,0.8142350279733392,1.0901211736902592
RVEA,SS-X.csv,3,1.2097240103737328,0.6331964151919551,0.0055570819172877555,0.48085222560064417
UNSGA3,all_players.csv,4,0.4700000000000001,0.6213384623874071,0.4665090770340561,0.8976256348600098
UNSGA3,BankChurners.csv,34,0.9467855652436883,0.8283309331762156,0.08132501181065477,0.9468860547301234
UNSGA3,Data_COVID19_Indonesia.csv,22,0.33971529108528903,0.7318995591949918,0.04300353588566377,1.0706570018580062
UNSGA3,Loan.csv,38,0.3524296912418081,0.6728369477475119,0.21841420217413893,1.3018779076947466
UNSGA3,pom3a.csv,11,0.9470793186558857,0.6876161622671355,0.14647237956925688,0.7119216374600188
UNSGA3,pom3b.csv,12,1.2600625075732053,0.4698901252471611,0.2641940333329046,0.34685497858349806
UNSGA3,pom3c.csv,15,1.111213273639981,0.5957969532021287,0.22698530174861425,0.648811852697312
UNSGA3,Scrum100k.csv,23,0.7447414965986399,0.7146258748850739,0.03593785268128955,0.9536138847970402
UNSGA3,SS-N.csv,8,0.7255554784552667,0.7407370003906026,0.16042451327882204,0.8101877119902202
UNSGA3,SS-W.csv,2,0.5461393383489637,1.2002962043128154,0.4345679676954074,0.8319303308255183
UNSGA3,SS-X.csv,3,0.766773683770324,1.0004235437619207,0.0,0.7910913837151691
