applicationDate,Age,AnnualIncome+,CreditScore,employmentStatus,educationLevel,Experience+,LoanAmount+,LoanDuration-,maritalStatus,NumberOfDependents,homeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,loanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore-,_source_row,_source_algorithm,_source_file,_runtime_sec
8/7/39,47,114757,637,Employed,Bachelor,24,36175,72,Divorced,2,Rent,100,0.104069276,1,2,0.15887707,0,Debt Consolidation,0,23,11,15138,1207,419903,54452,9563.083333,0.846823759,7,365451,0.232675,0.24103139,954.6393228,0.110282352,1,31.2,285,NSGA3,outputs\NSGA3\Loan.csv,0.20563817024230957
6/21/45,33,247516,658,Employed,Doctorate,12,23297,60,Single,1,Rent,584,0.489942144,2,2,0.299080626,0,Debt Consolidation,0,22,12,3026,3796,307881,35216,20626.33333,0.828677408,3,272665,0.199297,0.190717688,605.2573908,0.057657237,1,31.2,80,CTAEA,outputs\CTAEA\Loan.csv,0.20563817024230957
5/7/52,30,260421,489,Employed,Bachelor,7,21143,12,Single,2,Rent,587,0.164688483,2,1,0.217908273,0,Education,1,30,1,2770,1927,169773,146280,21701.75,0.618659907,5,23493,0.241643,0.227063867,1986.060906,0.118564674,1,47.2,377,RVEA,outputs\RVEA\Loan.csv,0.20563817024230957
10/17/19,70,114947,661,Employed,Doctorate,47,46798,36,Single,2,Mortgage,493,0.21769309,2,0,0.011739556,0,Debt Consolidation,1,22,19,4653,534,5187,15398,9578.916667,0.918734258,3,10808,0.201298,0.204196353,1749.203651,0.234076956,0,49.0,280,NSGA3,outputs\NSGA3\Loan.csv,0.20563817024230957
2/11/18,42,99920,582,Self-Employed,Bachelor,20,23363,12,Single,3,Other,298,0.615080763,3,2,0.20583096,0,Debt Consolidation,0,20,11,991,288,27778,23569,8326.666667,0.729776184,10,4209,0.197363,0.175435686,2136.847993,0.292415692,1,44.8,51,AGEMOEA2,outputs\AGEMOEA2\Loan.csv,0.20563817024230957
5/6/38,40,226844,543,Employed,Master,20,52715,48,Single,0,Mortgage,641,0.089445015,2,2,0.396148016,0,Home,1,30,26,3269,1506,330673,4003,18903.66667,0.801089673,9,326670,0.276215,0.228980588,1686.650439,0.12313222,1,40.8,211,CTAEA,outputs\CTAEA\Loan.csv,0.20563817024230957
3/26/54,58,48961,609,Employed,Bachelor,36,23151,48,Widowed,5,Rent,623,0.028572823,5,1,0.195593642,0,Debt Consolidation,0,21,23,662,1014,789699,14321,4080.083333,0.680871157,7,775378,0.213651,0.1709208,669.1264842,0.316691199,1,31.2,125,CTAEA,outputs\CTAEA\Loan.csv,0.20563817024230957
6/24/25,60,45730,559,Employed,Master,40,55877,24,Widowed,3,Other,332,0.675424158,3,1,0.534624388,0,Home,0,19,10,4274,8868,128353,38718,3810.833333,0.62820852,6,89635,0.251377,0.210485383,2872.608352,0.840920626,0,59.0,21,AGEMOEA,outputs\AGEMOEA\Loan.csv,0.20563817024230957
8/10/31,57,202007,579,Employed,Bachelor,33,39353,36,Widowed,5,Own,589,0.124816975,4,1,0.577142849,0,Home,0,23,26,3080,364,146422,62775,16833.91667,0.802487422,4,83647,0.234853,0.239082581,1542.035467,0.12659178,1,42.4,221,CTAEA,outputs\CTAEA\Loan.csv,0.20563817024230957
7/15/44,70,23269,544,Unemployed,High School,50,12320,36,Widowed,0,Rent,277,0.346349911,2,2,0.605709696,0,Debt Consolidation,0,18,5,1997,358,62456,17394,1939.083333,0.555344041,6,45062,0.22532,0.243682974,485.7343526,0.393347898,0,65.0,233,NSGA2,outputs\NSGA2\Loan.csv,0.20563817024230957
2/26/60,59,92922,665,Employed,Doctorate,36,80250,36,Single,0,Own,294,0.130305737,3,2,0.242026369,0,Home,0,21,24,1311,158,155885,15354,7743.5,0.760648769,3,140531,0.23275,0.264138599,3251.040505,0.45780855,0,40.0,3,AGEMOEA,outputs\AGEMOEA\Loan.csv,0.20563817024230957
